Building Name or Address,Height ft ( m ),Floors,Proposed Completion Year ( est . ),Neighborhood,Notes
333 South Figueroa,"1,108 ( 338 )",77,TBD,Bunker Hill ( 333 S. Figueroa St . ),Proposed supertall hotel by Shenzhen New World Group / ground retail / Tallest proposed tower West of Mississippi River
Figueroa Centre,975 ( 297 ),66,2023,Financial District ( 913 S. Figueroa St . ),Proposed residential / hotel / retail / Will be the third tallest building in Los Angeles
Angels Landing Tower 1,854 ( 260 ),64,2028,Historic Core ( 4th and Hill St . ),"Proposed Residential and office Tower / Retail / Designed by Peebles , MacFarlane , and Claridge Properties . Parcel is above Pershing Square Purple Line Metro Subway Station and Angels Knoll Park"
Olympia Tower I,853 ( 260 ),65,2023,South Park ( 1025 W. Olympic Blvd ),"Proposed Three Towers by Sheng Long Group north of LA Live Regal Cinema \ Retail , Hotel and residential 700 unit apartments"
11th and Hill,TBD,63,TBD,South Park ( 11th and Hill ),Crown Group Proposal ; 528 Residential units ; No Car-Park Podium . Koichi Takada Architects
Fifth & Hill,789 ( 240 ),53,2023,Historic Core ( Fifth and Hill St . ),Designed by Arquitectonica \ Would rise next to Pershing Square / Cantilevered decks and pools on upper floors
11th & Olive,770 ( 235 ),70,TBD,South Park ( 1045 S. Olive St . ),Proposed Residential Apartments / retail / Developed by Crescent Heights
Olympic and Hill Tower,760 ( 232 ),60,2022,South Park ( Olympic and Hill St . ),"Proposed Tower by ONNI Group \ Retail , Hotel and residential"
Olympic Tower,742 ( 226 ),58,TBD,South Park ( 949 S. Figueroa St . ),"Proposed Tower \ Retail , Hotel and residential Replaces the car wash on corner of Fig and Olympic"
6AM North Tower,732 ( 223 ),58,2025,Arts District ( 6th St. and Alameda ),Proposed \ residential and hotel proposed . Designed by Herzog & de Meuron
City Lights Tower,723 ( 220 ),53,2025,South Park ( 1300 S. Figueroa St . ),"Proposed \ Hotel \ Replaces apartment completed in 2004 , by TriCal"
6AM South Tower,710 ( 216 ),58,2025,Arts District ( 6th St. and Alameda ),Proposed \ residential and hotel proposed in the Arts District . Designed by Herzog & de Meuron
Onni Times Square Tower I,655 ( 200 ),53,2024,Civic Center ( 202 W. 1st St . ),Proposed \ residential . rehabilitate and add to the LA Times Building . The Times moved to El Segundo neighborhood and sold the building to Onni
1600 Figueroa,TBD,52,TBD,South Park ( 1600 S. Figueroa St . ),Proposed \ Retail and hotel . Designed by Gensler . Replacing DTLA Toyota Dealership
1111 Sunset Residential Tower 1,TBD,49,2023,Echo Park ( 1111 N. Sunset Blvd . ),Proposed residential / Former Metropolitan Water District Complex / 778 Residential units . Designed by SOM and James Corner Field Operations
Olympia Tower II,653 ( 199 ),53,2023,South Park ( 1001 W. Olympic Blvd ),"Proposed Three Towers by Sheng Long Group \ Retail , Hotel and residential north of LA Live Regal Cinema"
Tribune Residential Tower,616 ( 188 ),56,2025,Historic Core ( 222 W. 2nd St . ),Proposed Residential Tower by Tribune Real Estate Holdings \ Designed by Solomon Cordwell Buenz . Ground retail above the under construction Historic Broadway Regional Connector Metro Subway station
Eight & Hope Tower,592 ( 180 ),45,2024,South Park ( 754 S. Hope St . ),Proposed Residential Tower by Mitsui Group \ Designed by Gensler with three terraced decks . Ground Retail
Olympia Tower III,550 ( 168 ),43,2023,South Park ( 1001 W. Olympic Blvd . ),"Proposed Three Towers by Sheng Long Group \ Retail , Hotel and residential north of LA Live Regal Cinema"
5411 Wilshire,550 ( 168 ),42,2023,Miracle Mile ( 5411 Wilshire Blvd ),"Luxury Apartments designed by Richard Keating . Art Deco base with street level retail . Currently a Staples office supply store . Portion of the 1930s original building will be preserved . Near new subway station , Wilshire/La Brea station"
