Site,Country,Launches,Successes,Failures,Partial failures
Baikonur,Kazakhstan,20,19,1,0
Cape Canaveral,United States,10,9,0,1
Dombarovsky,Russia,1,1,0,0
Jiuquan,People 's Republic of China,1,1,0,0
Kennedy,United States,3,3,0,0
Kwajalein Atoll,Marshall Islands,1,0,1,0
Kourou,France,6,6,0,0
MARS,United States,1,1,0,0
Ocean Odyssey,International,1,0,1,0
Palmachim,Israel,1,1,0,0
Plesetsk,Russia,5,5,0,0
Satish Dhawan,India,3,2,0,1
Taiyuan,People 's Republic of China,3,3,0,0
Tanegashima,Japan,2,2,0,0
Vandenberg,United States,4,4,0,0
Xichang,People 's Republic of China,6,6,0,0
