Year,City,Country,Date,Velodrome,Nations,Athletes
1994 ( details ),Hasselt,Belgium,30 May - 5 June,,,
1998 ( details ),Colorado Springs,United States,15-20 September,,,
2002 ( details ),Augsburg,Germany,5-7 August,,,
2006 ( details ),Aigle,Switzerland,11-13 September,World Cycling Centre,,
2007 ( details ),Bordeaux,France,19-27 August,,,
2009 ( details ),Manchester,United Kingdom,6-8 November,Manchester Velodrome,23,97+27
2011 ( details ),Montichiari,Italy,11-13 March,Montichiari Velodrome,27,190+47
2012 ( details ),Carson,United States,9-12 February,ADT Event Center,31,261+35
2014 ( details ),Aguascalientes,Mexico,10-13 April,Aguascalientes Bicentenary Velodrome,28,122+27
2015 ( details ),Apeldoorn,Netherlands,26-29 March,Omnisport Apeldoorn,30,153+37
2016 ( details ),Montichiari,Italy,17-20 March,Montichiari Velodrome,31,172+43
2017 ( details ),Los Angeles,United States,2-5 March,VELO Sports Center,20,74+19
2018 ( details ),Rio de Janeiro,Brazil,22-25 March,Rio Olympic Velodrome,28,155+37
2019 ( details ),Apeldoorn,Netherlands,14-17 March,Omnisport Apeldoorn,36,192+43
2020 ( details ),Milton,Canada,30 January-2 February,Mattamy National Cycling Centre,31,159+40
