No,Position,Player,Nation
1,Goalkeeper,Corbin Waller,United States
2,Defender,Cheyne Roberts,United States
3,Defender,Mark Bloom,United States
4,Midfielder,Judson McKinney,United States
5,Midfielder,Milton Blanco,United States
6,Defender,Sean Bateau,Trinidad and Tobago
7,Forward,Chris Salvaggione,United States
9,Forward,Darryl Roberts,Trinidad and Tobago
10,Midfielder,Jorge Herrera,Colombia
11,Midfielder,Luke Williams,United States
12,Midfielder,Juan Guzman,United States
13,Defender,Isaac Cowles,United States
14,Midfielder,Joseph Kabwe,Zimbabwe
15,Defender,Scott Jones,Puerto Rico
15,Midfielder,Cuitlahuac Meza,United States
17,Forward,Brad Stisser,United States
18,Forward,Ben Page,United States
19,Midfielder,Miguel Ferrer,Cuba
20,Defender,Devon Grousis,United States
21,Midfielder,Darren Toby,Trinidad and Tobago
