Church,Dates,"City , State"
Goodwin Memorial African Methodist Episcopal Zion Church,built NRHP-listed,"Amherst , Massachusetts"
Calvary Methodist Church,built NRHP-listed,"Arlington , Massachusetts"
Methodist Church,built NRHP-listed,"Barnstable , Massachusetts"
Charles Street African Methodist Episcopal Church,built NRHP-listed,"Boston , Massachusetts"
Greenwood Memorial United Methodist Church,built NRHP-listed,"Boston , Massachusetts"
St. Mark 's Methodist Church,built NRHP-listed,"Brookline , Massachusetts"
"First Methodist Church ( Clinton , Massachusetts )",built NRHP-listed,"Clinton , Massachusetts"
Brayton Methodist Episcopal Church,built NRHP-listed,"Fall River , Massachusetts"
Clinton African Methodist Episcopal Zion Church,built NRHP-listed,"Great Barrington , Massachusetts"
South Harwich Methodist Church,built NRHP-listed,"Harwich , Massachusetts"
Bethel African Methodist Episcopal Church and Parsonage,built NRHP-listed,"Plymouth , Massachusetts"
Center Methodist Church,built NRHP-listed,"Provincetown , Massachusetts"
Wesley Methodist Church,built NRHP-listed,"Salem , Massachusetts"
Notre Dame Catholic Church,built NRHP-listed,"Southbridge , Massachusetts"
Methodist Episcopal Society of Tyringham,built NRHP-listed,"Tyringham , Massachusetts"
