District,Incumbent,Community,Region
Aggu,Paul Quassa,Igloolik ( north part ),Qikiqtaaluk Region
Aivilik,Patterk Netser,"Coral Harbour , Repulse Bay",Kivalliq Region
Amittuq,Joelie Kaernerk,"Hall Beach , Igloolik ( south part )",Qikiqtaaluk Region
Arviat North-Whale Cove,John Main,"Arviat ( north part ) , Whale Cove",Kivalliq Region
Arviat South,Joe Savikataaq,Arviat ( south part ),Kivalliq Region
Baker Lake,Simeon Mikkungwak,Baker Lake,Kivalliq Region
Cambridge Bay,Jeannie Ehaloak,Cambridge Bay,Kitikmeot Region
Gjoa Haven,Tony Akoak,Gjoa Haven,Kitikmeot Region
Hudson Bay,Allan Rumbolt,Sanikiluaq,Qikiqtaaluk Region
Iqaluit-Manirajak,Adam Arreak-Lightstone,Iqaluit ( west part ),Qikiqtaaluk Region
Iqaluit-Niaqunnguu,Pat Angnakak,Iqaluit ( east part ),Qikiqtaaluk Region
Iqaluit-Sinaa,Elisapee Sheutiapik,Iqaluit ( south part ),Qikiqtaaluk Region
Iqaluit-Tasiluk,George Hickes,Iqaluit ( north part ),Qikiqtaaluk Region
Kugluktuk,Mila Adjukak Kamingoak,Kugluktuk,Kitikmeot Region
Netsilik,Emilino Qirngnuq,"Kugaaruk , Taloyoak",Kitikmeot Region
Pangnirtung,Margaret Nakashuk,Pangnirtung,Qikiqtaaluk Region
Quttiktuq,David Akeeagok,"Arctic Bay , Grise Fiord , Resolute",Qikiqtaaluk Region
Rankin Inlet North-Chesterfield Inlet,Cathy Towtongie,"Chesterfield Inlet , Rankin Inlet ( north part )",Kivalliq Region
Rankin Inlet South,Lorne Kusugak,Rankin Inlet ( south part ),Kivalliq Region
South Baffin,David Joanasie,"Cape Dorset , Kimmirut",Qikiqtaaluk Region
