Medal,Name,Sport,Event
Gold,Charles Bennett ( GBR ) John Rimmer ( GBR ) Sidney Robinson ( GBR ) Stan Rowley ( AUS ) Alfred Tysoe ( GBR ),Athletics,5000 metre team race
Gold,Denis St. George Daly ( GBR ) Foxhall Parker Keene ( USA ) Frank Mackey ( USA ) Alfred Rawlinson ( GBR ),Polo,
Gold,François Brandt ( NED ) Hermanus Brockmann ( NED ) Roelof Klein ( NED ) Unknown French athlete ( FRA ),Rowing,Coxed pair
Gold,Frédéric Blanchy ( FRA ) E. William Exshaw ( GBR ) Jacques Le Lavasseur ( FRA ),Sailing,2-3 ton ( race 1 )
Gold,Frédéric Blanchy ( FRA ) E. William Exshaw ( GBR ) Jacques Le Lavasseur ( FRA ),Sailing,2-3 ton ( race 2 )
Gold,Edgar Aabye ( DEN ) August Nilsson ( SWE ) Eugen Schmidt ( DEN ) Gustaf Söderström ( SWE ) Karl Staaf ( SWE ) Charles Winckler ( DEN ),Tug of war,
Silver,Walter McCreery ( USA ) Frederick Freake ( GBR ) Walter Buckmaster ( GBR ) Jean de Madre ( FRA ),Polo,
Silver,Max Décugis ( FRA ) Basil Spalding de Garmendia ( USA ),Tennis,men 's doubles
Silver,Hélène Prévost ( FRA ) Harold Mahony ( GBR ),Tennis,mixed doubles
Bronze,Frederick Agnew Gill ( GBR ) Robert Fournier-Sarlovèze ( FRA ) Edouard Alphonse de Rothschild ( FRA ) Maurice Raoul-Duval ( FRA ),Polo,
Bronze,Marion Jones ( USA ) Laurence Doherty ( GBR ),Tennis,mixed doubles
Bronze,Hedwiga Rosenbaumová ( BOH ) Archibald Warden ( GBR ),Tennis,mixed doubles
