Medal,Name,Sport,Event,Date
Gold,Yevgeny Dementyev,Cross-country skiing,Men 's 30 km pursuit,12 February
Gold,Svetlana Ishmuratova,Biathlon,Women 's individual,13 February
Gold,Tatiana Totmianina Maxim Marinin,Figure skating,Pairs,13 February
Gold,Svetlana Zhurova,Speed skating,Women 's 500 m,14 February
Gold,Evgeni Plushenko,Figure skating,Men 's,16 February
Gold,Natalia Baranova-Masolkina Larisa Kurkina Yuliya Chepalova Yevgeniya Medvedeva-Arbuzova,Cross-country skiing,Women 's 4 x 5 km relay,18 February
Gold,Tatiana Navka Roman Kostomarov,Figure skating,Ice dance,20 February
Gold,Albina Akhatova Anna Bogaliy Svetlana Ishmuratova Olga Zaitseva,Biathlon,Women 's relay,23 February
Silver,Albert Demtschenko,Luge,Men 's singles,12 February
Silver,Dmitry Dorofeev,Speed skating,Men 's 500 m,13 February
Silver,Sergei Tchepikov Nikolay Kruglov Jr. Pavel Rostovtsev Ivan Tcherezov,Biathlon,Men 's relay,21 February
Silver,Yuliya Chepalova,Cross-country skiing,Women 's 30 km freestyle,24 February
Silver,Alexandr Zubkov Filipp Yegorov Alexei Seliverstov Alexey Voyevoda,Bobsleigh,Four-man,25 February
Silver,Yevgeny Dementyev,Cross-country skiing,Men 's 50 km freestyle,26 February
Bronze,Yevgeniya Medvedeva-Arbuzova,Cross-country skiing,Women 's 15 km pursuit,12 February
Bronze,Albina Akhatova,Biathlon,Women 's individual,13 February
Bronze,Ivan Alypov Vasily Rochev,Cross-country skiing,Men 's team sprint,14 February
Bronze,Yekaterina Abramova Varvara Barysheva Yekaterina Lobysheva Galina Likhachova Svetlana Vysokova,Speed skating,Women 's team pursuit,16 February
Bronze,Albina Akhatova,Biathlon,Women 's pursuit,18 February
Bronze,Alyona Sidko,Cross-country skiing,Women 's sprint,22 February
