Season,Player,Team
1965,Willie Asbury,Kent State
1966,Bruce Matte,Miami
1967,John Schneider,Toledo
1968,Cleve Bryant,Ohio
1969,Chuck Ealey,Toledo
1970,Chuck Ealey ( 2 ),Toledo
1971 *,Chuck Ealey ( 3 ),Toledo
1971*,Phil Villapiano,Bowling Green
1972,Bob Hitchens,Miami
1973,Paul Miles,Bowling Green
1974,Gene Swick,Toledo
1975,Gene Swick ( 2 ),Toledo
1976,Jerome Persell,Western Michigan
1977,Jerome Persell ( 2 ),Western Michigan
1978 *,Jerome Persell ( 3 ),Western Michigan
1978*,Dave Petzke,Northern Illinois
1979,Gary Hogeboom,Central Michigan
1980,Mark O'Connell,Ball State
1981,Sam Shon,Ohio
1982,Curtis Adams,Central Michigan
