By-election,Year,Turnout%
1969 Mid Ulster by-election,1969,91.5%
1955 Mid Ulster by-election,1955,89.7%
1928 Ashton-under-Lyne by-election,1928,89.1%
August 1981 Fermanagh and South Tyrone by-election,1981,88.6%
1956 Mid Ulster by-election,1956,88.4%
1923 Tiverton by-election,1923,88.1%
1926 Darlington by-election,1926,87.6%
1957 Carmarthen by-election,1957,87.4%
April 1981 Fermanagh and South Tyrone by-election,1981,86.9%
1925 Stockport by-election,1925,85.7%
1950 Brighouse and Spenborough by-election,1950,85.4%
