Outcome,No,Year,Championship,Opponent in the final,Score
Winner,1,1988,Kent Cup,Martin Clark,5-1
Winner,2,1988,Pontins Professional,Mike Hallett,9-1
Runner-up,1,1988,World Matchplay,Steve Davis,5-9
Runner-up,2,1989,Matchroom League,Steve Davis,Round-Robin
Runner-up,3,1989,The Masters,Stephen Hendry,6-9
Runner-up,4,1989,English Professional Championship,Mike Hallett,7-9
Runner-up,5,1989,London Masters,Stephen Hendry,2-4
Runner-up,6,1989,World Matchplay ( 2 ),Jimmy White,9-18
Runner-up,7,1990,The Masters ( 2 ),Stephen Hendry,4-9
Runner-up,8,1990,London Masters ( 2 ),Stephen Hendry,2-4
Winner,3,1990,Norwich Union Grand Prix,Steve Davis,4-2
Winner,4,1990,Belgian Masters,Jimmy White,9-6
Runner-up,9,1991,Irish Masters,Steve Davis,5-9
Runner-up,10,1991,Indian Challenge,Stephen Hendry,5-9
Runner-up,11,1992,The Masters ( 3 ),Stephen Hendry,4-9
Winner,5,1992,Kent Classic,Stephen Hendry,6-5
Runner-up,12,1992,Belgian Masters,James Wattana,5-10
Runner-up,13,1994,European League ( 2 ),Stephen Hendry,7-10
Winner,6,1994,Malta Grand Prix,Tony Drago,7-6
Runner-up,14,1995,Red & White Challenge,Nigel Bond,6-8
