Club,City,Stadium,Manager
Asan Citizen,Asan,Yi Sun-sin Sports Complex,Jung Nam-Kil
Cheonan FC,Cheonan,Cheonan Football Center,Seo Won-Sang
Cheongju Jikji FC,Cheongju,Cheongju Stadium,Kim Jong-Hyun
Chuncheon FC,Chuncheon,Chuncheon Stadium,Kim Yong-Ho
Gimpo Citizen,Gimpo,Gimpo City Stadium,Yoo Jong-Wan
Goyang Citizen,Goyang,Goyang Eoulimnuri ground,Kim Jin-Ok
Gwangju Gwangsan FC,Gwangju,Honam University ground,Kim Kang-Seon
Gyeongju Citizen,Gyeongju,Gyeongju Civic Stadium,Kim Jin-Hyung
Hwaseong FC,Hwaseong,Hwaseong Stadium,Kim Jong-Boo
Icheon Citizen,Icheon,Icheon City Stadium,Lee Hyun-Chang
Jeonbuk Maeil,Jeonju,Jeonju University ground,Yang Young-Cheol
Jungnang Chorus Mustang,Seoul,Jungnang Public Ground,Yoo Bong-Ki
Paju Citizen,Paju,Paju Public Stadium,Oh Won-Jae
FC Pocheon,Pocheon,Pocheon Stadium,In Chang-Soo
Seoul FC Martyrs,Seoul,Gangbuk Stadium,Kim Yong-Hae
Seoul United,Seoul,Madeul Stadium,Kim Chang-Kyum
Yangju Citizen,Yangju,Yangju Stadium,Lee Seung-Hee
Yeonggwang FC,Yeonggwang,Yeonggwang Sportium,Kim Han-Bong
