Year,2nd runner-up,State Represented,Hometown,Age
1983,Krista Keith,Kentucky,Louisville,16
1984,Molly Diane Brown,Tennessee,Loretto,16
1985,Dru Homer,Washington,Selah,17
1986,Claudia Liem,New York,Glendale,15
1987,Bobbie Jean Brown,Louisiana,Baton Rouge,17
1988,Amy Pietsch,Louisiana,Ringgold,18
1989,Kara Quinn,Vermont,Rutland,15
1990,Holly Roehl,Georgia,Griffin,17
1991,Audra Sherman,Missouri,Sikeston,15
1992,Danielle Boatwright,Kansas,Tonganoxie,17
1993,Ursula Abbott,Pennsylvania,Harrisburg,17
1994,Melissa Hurtig,Kansas,Courtland,18
1995,Loni Sorden,Utah,Virgin,18
1996,Michelle Cardamon,California,San Diego,18
1997,Mahana Ka'ahumanu Walters,Hawaii,Pupukea,17
1998,Victoria Franklin,Nevada,Las Vegas,14
1999,Khosi Roy,Maryland,Silver Spring,17
2000,Kristen Johnson,Kentucky,Slaughters,18
2001,Marianna Zaslavsky,Massachusetts,Boston,16
2002,Tara Conner,Kentucky,Russell Springs,16
