Date,Meet,Stadium,City,Country
6 May,Qatar Athletic Super Grand Prix,Qatar SC Stadium,Doha,Qatar
15 May,Shanghai Golden Grand Prix,Shanghai Stadium,Shanghai,China
26 May,Golden Gala,Stadio Olimpico,Rome,Italy
4 June,Prefontaine Classic,Hayward Field,Eugene,United States
9 June,Bislett Games,Bislett Stadion,Oslo,Norway
11 June,Adidas Grand Prix,Icahn Stadium,New York City,United States
30 June,Athletissima,Stade Olympique de la Pontaise,Lausanne,Switzerland
8 July,Meeting Areva,Stade de France,Saint-Denis,France
10 July,Aviva British Grand Prix,Alexander Stadium,Birmingham,United Kingdom
22 July,Herculis,Stade Louis II,Fontvieille,Monaco
29 July,DN Galan,Stockholm Olympic Stadium,Stockholm,Sweden
5-6 August,London Grand Prix,Crystal Palace,London,United Kingdom
8 September,Weltklasse Zürich,Letzigrund,Zürich,Suitzerland
16 September,Memorial van Damme,King Baudouin Stadium,Brussels,Belgium
