Team,Arena,Home Games,Average Attendance,Total Attendance,Capacity Percentage
Chicago Blackhawks,United Center,41,"21,533","882,874",109.2%
Montreal Canadiens,Bell Centre,41,"21,273","872,193",100.0%
Philadelphia Flyers,Wells Fargo Center,40,"19,770","790,787",101.2%
Detroit Red Wings,Joe Louis Arena,41,"20,066","822,706",100.0%
Toronto Maple Leafs,Air Canada Centre,41,"19,505","799,686",103.6%
Ottawa Senators,Scotiabank Place,41,"19,357","793,612",101.1%
Calgary Flames,Scotiabank Saddledome,41,"19,289","790,849",100.0%
Vancouver Canucks,Rogers Arena,41,"18,884","774,250",100.1%
St. Louis Blues,Scottrade Center,41,"18,810","771,207",98.2%
Buffalo Sabres,First Niagara Center,40,"18,680","747,209",99.9%
Pittsburgh Penguins,Consol Energy Center,41,"18,569","761,224",101.0%
Washington Capitals,Verizon Center,41,"18,506","758,746",100.0%
Tampa Bay Lightning,Tampa Bay Times Forum,41,"18,468","757,192",96.2%
New York Rangers,Madison Square Garden,41,"18,191","745,852",99.9%
Los Angeles Kings,Staples Center,39,"18,109","706,236",99.9%
Minnesota Wild,Xcel Energy Center,41,"17,772","728,683",98.4%
Boston Bruins,TD Garden,41,"17,565","720,165",100.0%
San Jose Sharks,HP Pavilion at San Jose,41,"17,562","720,042",100.0%
Edmonton Oilers,Rexall Place,41,"16,839","690,399",100.0%
Nashville Predators,Bridgestone Arena,41,"16,691","684,324",97.5%
