Team,Manager,Kit Manufacturer,Main sponsor
Busan IPark,Ahn Ik-Soo,Puma,Busan Bank
Chunnam Dragons,Ha Seok-Ju,Kelme,POSCO
Daegu FC,Moacir Pereira,Hummel,Daegu Bank
Daejeon Citizen,Yoo Sang-Chul,Lotto,It 's Daejeon
Gangwon FC,Kim Hak-Beom,Mizuno,High 1 Resort
Gwangju FC,Choi Man-Hee,Joma,Gwangju Bank
Gyeongnam FC,Choi Jin-Han,Hummel,STX
Incheon United,Kim Bong-Kil,Le Coq Sportif,Shinhan Bank
Jeju United,Park Kyung-Hoon,Astore,SK Energy
Jeonbuk Hyundai Motors,Lee Heung-Sil ( caretaker ),Hummel,"Hyundai i40 , Hyundai Santa Fe"
Pohang Steelers,Hwang Sun-Hong,Kappa,POSCO
Sangju Sangmu Phoenix,Park Hang-Seo,Jako,Sangju City
Seongnam Ilhwa Chunma,Shin Tae-Yong,Uhlsport,McCOL
FC Seoul,Choi Yong-Soo,Le Coq Sportif,Xii
Suwon Samsung Bluewings,Yoon Sung-Hyo,Adidas,Samsung SMART TV
Ulsan Hyundai,Kim Ho-Gon,Diadora,Hyundai Oilbank
