Year,Original title,English title,Director
1980,Land og synir,Land og synir,Ágúst Guðmundsson
1980,"Punktur , punktur , komma , strik","Punktur , punktur , komma , strik",Þorsteinn Jónsson ( is )
1980,Veiðiferðin,Veiðiferðin,Andrés Indriðason
1981,Jón Oddur og Jón Bjarni,Jón Oddur og Jón Bjarni,Þráinn Bertelsson
1981,Óðal feðranna,Óðal feðranna,Hrafn Gunnlaugsson
1981,Útlaginn,Outlaw,Ágúst Guðmundsson
1982,Með allt á hreinu,On Top,Ágúst Guðmundsson
1982,Okkar á milli,Okkar á milli,Hrafn Gunnlaugsson
1982,Rokk í Reykjavík,Rokk í Reykjavík documentary,Friðrik Þór Friðriksson
1982,Sóley,Sóley,Róska
1983,Á hjara veraldar,Rainbows End,Kristín Jóhannesdóttir
1983,Húsið,The House,Egill Eðvarðsson
1983,Nýtt líf,Nýtt líf,Þráinn Bertelsson
1983,Skilaboð til Söndru,Skilaboð til Söndru,Kristín Pálsdóttir
1984,Atómstöðin,Atomic Station,Þorsteinn Jónsson ( is )
1984,Dalalíf,Dalalíf,Þráinn Bertelsson
1984,Gullsandur,Golden Sands,Ágúst Guðmundsson
1984,Hrafninn flýgur,When the Raven Flies,Hrafn Gunnlaugsson
1984,Kúrekar norðursins,Kúrekar norðursins documentary,Friðrik Þór Friðriksson
1985,Hringurinn,Hringurinn documentary,Friðrik Þór Friðriksson
