Edition,Year,City,Country,Date,Venue,Top of the medal table
1st,1999,Bydgoszcz,Poland,16-18 July,Zdzisław Krzyszkowiak Stadium,Kenya
2nd,2001,Debrecen,Hungary,12-15 July,Gyulai István Atlétikai Stadion,United States
3rd,2003,Sherbrooke,Canada,9-13 July,Université de Sherbrooke Stadium,United States
4th,2005,Marrakech,Morocco,13-17 July,Stade Sidi-Youssef-Ben-Ali [ fr ],United States
5th,2007,Ostrava,Czech Republic,11-15 July,Městský stadion,United States
6th,2009,Brixen,Italy,8-12 July,Raiffeisen Arena di Bressanone [ pl ],Kenya
7th,2011,Lille,France,6-10 July,Stadium Lille Métropole,United States
8th,2013,Donetsk,Ukraine,10-14 July,RSC Olimpiyskiy,Jamaica
9th,2015,Cali,Colombia,15-19 July,Cali Olympic Stadium,United States
10th,2017,Nairobi,Kenya,12-16 July,Moi International Sports Centre,South Africa
