Stadium,City,Test matches,ODI matches,T20I matches,Total matches
National Cricket Stadium,Karachi,41,46,4,91
Gaddafi Stadium,Lahore,40,61,6,107
Iqbal Stadium,Faisalabad,24,16,0,40
Rawalpindi Cricket Stadium,Rawalpindi,9,21,0,30
Arbab Niaz Stadium,Peshawar,6,15,0,21
Multan Cricket Stadium,Multan,5,7,0,12
Niaz Stadium,Hyderabad,5,7,0,12
Jinnah Stadium ( Gujranwala ),Gujranwala,4,9,0,13
Bagh-e-Jinnah,Lahore,3,0,0,3
Sheikhupura Stadium,Sheikhupura,2,2,0,4
Jinnah Stadium,Sialkot,1,11,0,12
Ibn-e-Qasim Bagh Stadium,Multan,1,6,0,7
Pindi Club Ground,Rawalpindi,1,2,0,3
Defence Housing Authority Stadium,Karachi,1,0,0,1
Bahawal Stadium,Bahawalpur,1,0,0,1
Zafar Ali Stadium,Sahiwal,0,2,0,2
Ayub National Stadium,Quetta,0,2,0,2
Sargodha Cricket Stadium,Sargodha,0,1,0,1
Bugti Stadium,Quetta,0,1,0,1
Abbottabad Cricket Stadium,Abbottabad,0,0,1,1
