Parish,LGA,Towns
Barron,Tablelands,"Atherton , Tolga"
Bartle Frere,Tablelands,
Bellenden Ker,Cairns,"Babinda , Bellenden Ker , Miriwinni"
Cairns,Cairns,"Cairns , Kuranda"
Danbulla,Tablelands,
Dinden,Mareeba,
Dirran,Tablelands,"Tarzali , Millaa Millaa"
Dulanban,Cairns,
East Barron,Tablelands,Yungaburra
Formartine,Mareeba,
Gadgarra,Tablelands,
Glady,Cassowary Coast,Flying Fish Point
Grafton,Cairns,"Edmonton , Gordonvale"
Hull,Cassowary Coast,"Silkwood , South Mission Beach , El Arish"
Japoon,Cassowary Coast,Japoon
Johnstone,Cassowary Coast,"Innisfail , South Johnstone"
Jordan,Cassowary Coast,
Malanda,Tablelands,Malanda
Monamona,Mareeba,
Mourilyan,Cassowary Coast,"Mourilyan , parts of Innisfail"
