No,Position,Player,Nation
1,Goalkeeper,Miguel Gallardo,Mexico
3,Midfielder,Jonathan Mendoza,United States
4,Midfielder,Ian Fuller ( captain ),United States
5,Defender,Kieron Bernard ( Retired as of May 30 ),Jamaica
6,Midfielder,Anthony Pulis,Wales
7,Midfielder,Bryan Burke,United States
8,Defender,Erik Ustruck,United States
10,Midfielder,Adama Mbengue,Senegal
12,Midfielder,Christian Duke,United States
13,Defender,Justin Clark,United States
14,Midfielder,Luke Boden,England
15,Forward,Dennis Chin,United States
16,Midfielder,Freddie Braun,United States
17,Midfielder,James O'Connor,Ireland
18,Midfielder,Kevin Molino,Trinidad and Tobago
20,Midfielder,Jean Alexandre,Haiti
21,Goalkeeper,Jon Kempin,United States
22,Defender,Rob Valentino,United States
23,Forward,Long Tan,China
24,Defender,Brian Fekete,United States
