Date,Co-Hosts,Guests/Segments
October 1,Regis Philbin & Kelly Ripa,"Kate Walsh , Kellie Pickler , and Quaker Oatmeal Dance Your Heart Out"
October 2,Regis Philbin & Kelly Ripa,"Jo Frost , Diane Sawyer , and Quaker Oatmeal Dance Your Heart Out"
October 3,Kelly Ripa & Mark Consuelos,"Blair Underwood , Jon & Kate Plus 8 , and Robin Thicke"
October 6,Regis Philbin & Kelly Ripa,"Alicia Keys , John Lithgow , and Quaker Oatmeal Dance Your Heart Out"
October 7,Regis Philbin & Kelly Ripa,"Toy of the year Awards , Gary Sinise , and Sarah McLachlan"
October 8,Regis Philbin & Kelly Ripa,"Debra Messing , Bill O'Reilly , and Project Runway Finalists"
October 9,Regis Philbin & Kelly Ripa,Molly Shannon and Peter Gros
October 10,Regis Philbin & Kelly Ripa,Russell Crowe and Isaac Mizrahi
October 13,Kelly Ripa & Randy Jackson,Christian Slater and Ed Westwick
October 14,Kelly Ripa & Anderson Cooper,"Queen Latifah , Rusty Wallace , and Nobu Matsuhisa"
October 15,Kelly Ripa & Anderson Cooper,James Marsden and Michael Urie
October 16,Kelly Ripa & Bryant Gumbel,"Edward Norton , Bernadette Peters , and Project Runway Winner"
October 17,Kelly Ripa & Howie Mandel,Kim Raver and Billy Bob Thornton & The Boxermasters
October 20,Regis Philbin & Kelly Ripa,"Judge Judy , Corbin Bleu , and CFA-Iams Cat Championship"
October 21,Regis Philbin & Kelly Ripa,"Vanessa Hudgens , Jason O'Mara , and Gavin Rossdale"
October 22,Regis Philbin & Kelly Ripa,Zac Efron and Shawn Johnson
October 23,Regis Philbin & Kelly Ripa,Whoopi Goldberg and Ashley Tisdale
October 24,Kelly Ripa & Michael Chiklis,Gisele Bündchen and John Slattery
October 27,Regis Philbin & Kelly Ripa,Marcia Cross and Katie Brown
October 28,Regis Philbin & Kelly Ripa,"Charles Gibson , Tom Nardone , and Craig Horner"
