Season,Champion,Runner-up
1899,Banfield,English High School
1900,Banfield,English High School II
1901,Barracas,Belgrano Athletic II
1902,Belgrano Athletic II,Estudiantes ( BA )
1903,Barracas II,Estudiantes ( BA ) B
1904,Barracas II,Alumni II
1905,América,Belgrano Athletic B
1906,Estudiantes ( BA ) II,Porteño
1907,Nacional ( F ),River Plate
1908,River Plate,Racing
1909,Gimnasia y Esgrima ( BA ),Racing
1910,Racing,Boca Juniors
1911,Riachuelo B,
1912,Banfield,
1912 FAF,Tigre II,
1913,Ferro Carril Oeste III,
1913 FAF,Estudiantes ( LP ) III,
1914,San Lorenzo,
1914 FAF,Tigre Juniors,
1915,Martínez,
