Name,Type,Elevation ( m ),Elevation ( ft ),Last eruption date,Location
Silverthrone Caldera,Caldera,"2,865","9,400",Unknown,51°26′N 126°18′W / 51.43°N 126.30°W / 51.43 ; -126.30
Franklin Glacier Complex,Caldera,"2,252","7,388",Pleistocene,51°20′N 125°02′W / 51.33°N 125.04°W / 51.33 ; -125.04
Bridge River Cones,Volcanic field,"2,500","8,500",Unknown,50°48′N 123°24′W / 50.80°N 123.40°W / 50.80 ; -123.40
Mount Meager massif,Complex volcano,"2,645","8,678","2,350 BP",50°38′N 123°30′W / 50.63°N 123.50°W / 50.63 ; -123.50
Ring Mountain,Tuya,"2,192","7,192",Unknown,50°13′N 123°18′W / 50.22°N 123.30°W / 50.22 ; -123.30
Mount Cayley massif,Stratovolcano,"2,385","7,825",Pleistocene,50°07′N 123°17′W / 50.12°N 123.28°W / 50.12 ; -123.28
Mount Fee,Volcanic plug,"2,162","7,093",Pleistocene,50°05′N 123°14′W / 50.08°N 123.24°W / 50.08 ; -123.24
Mount Brew,Subglacial volcano,"1,757","5,764",Pleistocene,50°02′N 123°11′W / 50.04°N 123.19°W / 50.04 ; -123.19
The Black Tusk,Stratovolcano,"2,319","7,608",Pleistocene,49°58′N 123°02′W / 49.97°N 123.04°W / 49.97 ; -123.04
Cinder Cone,Cinder cone,"1,910","6,266",Holocene,49°58′N 123°01′W / 49.97°N 123.01°W / 49.97 ; -123.01
Clinker Peak,Stratovolcano,"1,992","6,535","9,000 BP",49°56′N 123°02′W / 49.93°N 123.04°W / 49.93 ; -123.04
Mount Price,Stratovolcano,"2,052","6,732","9,000 BP",49°55′N 123°02′W / 49.92°N 123.03°W / 49.92 ; -123.03
Garibaldi Lake,Volcanic field,"2,316","7,598",Unknown,49°55′N 123°02′W / 49.92°N 123.03°W / 49.92 ; -123.03
The Table,Tuya,"2,021","6,631",Pleistocene,49°54′N 123°01′W / 49.90°N 123.01°W / 49.90 ; -123.01
Mount Garibaldi,Stratovolcano,"2,678","8,786","10,700-9,300",49°50′N 123°00′W / 49.84°N 123.00°W / 49.84 ; -123.00
Opal Cone,Cinder cone,"1,736","5,696","9,300 BP",49°50′N 123°58′W / 49.83°N 123.97°W / 49.83 ; -123.97
The Castle,Subglacial volcano,-,-,Pleistocene,49°41′N 123°01′W / 49.69°N 123.02°W / 49.69 ; -123.02
Coquihalla Mountain,Stratovolcano,"2,157","7,077",Miocene,-
Watts Point,Subglacial volcano,240,800,"90,000 BP",49°23′N 123°08′W / 49.39°N 123.13°W / 49.39 ; -123.13
