Medal,Name,Games,Sport,Event
Gold,Michal Martikán,1996 Atlanta,Canoeing,Men 's C-1 slalom
Silver,Slavomír Kňazovický,1996 Atlanta,Canoeing,Men 's C-1 500 metres
Bronze,Jozef Gönci,1996 Atlanta,Shooting,Men 's 50 m rifle prone
Gold,Pavol Hochschorner Peter Hochschorner,2000 Sydney,Canoeing,Men 's C-2 slalom
Silver,Michal Martikán,2000 Sydney,Canoeing,Men 's C-1 slalom
Silver,Martina Moravcová,2000 Sydney,Swimming,Women 's 100 metre butterfly
Silver,Martina Moravcová,2000 Sydney,Swimming,Women 's 200 metre freestyle
Bronze,Juraj Minčík,2000 Sydney,Canoeing,Men 's C-1 slalom
Gold,Pavol Hochschorner Peter Hochschorner,2004 Athens,Canoeing,Men 's C-2 slalom
Gold,Elena Kaliská,2004 Athens,Canoeing,Women 's K-1 slalom
Silver,Michal Martikán,2004 Athens,Canoeing,Men 's C-1 slalom
Silver,Jozef Krnáč,2004 Athens,Judo,Men 's half-lightweight
Bronze,Juraj Bača Michal Riszdorfer Richard Riszdorfer Erik Vlček,2004 Athens,Canoeing,Men 's K-4 1000 metres
Bronze,Jozef Gönci,2004 Athens,Shooting,Men 's 10 m air rifle
Gold,Michal Martikán,2008 Beijing,Canoeing,Men 's C-1 slalom
Gold,Pavol Hochschorner Peter Hochschorner,2008 Beijing,Canoeing,Men 's C-2 slalom
Gold,Elena Kaliská,2008 Beijing,Canoeing,Women 's K-1 slalom
Silver,Zuzana Štefečeková,2008 Beijing,Shooting,Women 's trap
Silver,Juraj Tarr Michal Riszdorfer Richard Riszdorfer Erik Vlček,2008 Beijing,Canoeing,Men 's K-4 1000 metres
Silver,David Musuľbes,2008 Beijing,Wrestling,Men 's freestyle 120 kg
