Rank,Country,Team,Time
1,Russia,Lidiya Grigoryeva Alla Zhilyayeva Lyudmila Biktasheva,3:30:16
2,Japan,Mikie Takanaka Takako Kotorida Risa Hagiwara,3:34:23
3,Romania,Constantina Diţă-Tomescu Luminița Talpoș Nuta Olaru,3:35:07
4,Ethiopia,Berhane Adere Teyba Erkesso Derebe Alemu,3:36:37
5,Great Britain,Paula Radcliffe Kathy Butler Hayley Yelling,3:36:44
6,Spain,Yesenia Centeno Teresa Récio Beatriz Santíago,3:39:19
7,France,Corinne Raux Fatiha Klilech-Fauvel Christelle Daunay,3:40:02
8,Italy,Bruna Genovese Rosaria Console Anna Incerti,3:40:40
9,Kenya,Susan Chepkemei Magdeline Chemjor Salina Kosgei,3:40:58
10,United States,Sylvia Mosqueda Magdalena Lewy Christine Clifton,3:44:22
11,Morocco,Malika Asahssah Kenza Wahbi Bouchra Chaabi,3:44:39
12,Portugal,Elisabete Lopes Analídia Torre Fernanda Miranda,3:52:35
13,India,Pushpa Devi Sarbjett Kaur Hidangmayum Devi,4:18:41
