Name,Date constructed ca,Location,State
Arkansas Post,1686,Arkansas County,Arkansas
Fort des Alibamons,1717,Wetumpka,Alabama
Fort Assumption,1739,Memphis,Tennessee
Fort de la Balise,1722,Plaquemines Parish,Louisiana
Fort Beauharnois,1727,Goodhue County,Minnesota
"Fort De La Boulaye ( Fort Bayougoula , Fort Iberville , Fort Louisiana )",1700,"Phoenix , Plaquemines Parish",Louisiana
Fort de Buade,1683,St. Ignace,Michigan
Fort Carillon,1754-57,Ticonderoga,New York
Fort Caroline,1564,Jacksonville,Florida
Fort de Cavagnal,1744,Missouri River between Kansas City and Fort Leavenworth,Kansas
Fort Charles,1562,Beaufort,South Carolina
Fort de Chartres,1720,Randolph County,Illinois
Fort Condé de la Mobille,1723,Mobile,Alabama
Fort Conti,1679,Youngstown,New York
Fort Crèvecoeur,1680,Creve Coeur,Illinois
Fort Denonville,1687,Youngstown,New York
Fort Ponchartrain du Détroit,1701,Detroit,Michigan
Fort Détour à l'Anglais,1722,Belle Chase,Louisiana
Fort Duquesne,1754,Pittsburgh,Pennsylvania
Fort Dubreuil ( Côte des Allemands ),1740,Destrehan,Louisiana
