Year,Winner,Party
1952,Harindranath Chattopadhyaya,Independent
1957,Dr. Komarraju Atchamamba,Indian National Congress
1962,K. L. Rao,Indian National Congress
1967,K. L. Rao,Indian National Congress
1971,K. L. Rao,Indian National Congress
1977,Godey Murahari,Indian National Congress
1980,Chennupati Vidya,Indian National Congress ( I )
1984,Vadde Sobhanadreeswara Rao,Telugu Desam Party
1989,Chennupati Vidya,Indian National Congress
1991,Vadde Sobhanadreeswara Rao,Telugu Desam Party
1996,Parvathaneni Upendra,Indian National Congress
1998,Parvathaneni Upendra,Indian National Congress
1999,Gadde Ramamohan,Telugu Desam Party
2004,Rajagopal Lagadapati,Indian National Congress
2009,Rajagopal Lagadapati,Indian National Congress
2014,Kesineni Srinivas,Telugu Desam Party
2019,Kesineni Srinivas,Telugu Desam Party
