Round,Pick,Player,Recruited from,Club
Priority,1,Brett Deledio,Murray Bushrangers,Richmond
Priority,2,Jarryd Roughead,Gippsland Power,Hawthorn
Priority,3,Ryan Griffen,South Adelaide Football Club,Western Bulldogs
1,4,Richard Tambling,Southern Districts Football Club,Richmond
1,5,Lance Franklin,Perth Football Club,Hawthorn
1,6,Tom Williams,Morningside Football Club,Western Bulldogs
1,7,Jordan Lewis,Geelong Falcons,Hawthorn
1,8,John Meesen,Geelong Falcons,Adelaide
1,9,Jordan Russell,West Adelaide Football Club,Carlton
1,10,Chris Egan,Murray Bushrangers,Collingwood
1,11,Adam Thomson,Sturt Football Club,Port Adelaide
1,12,Danny Meyer,Glenelg Football Club,Richmond
1,13,Matthew Bate,Eastern Ranges,Melbourne
1,14,Angus Monfries,Sturt Football Club,Essendon
1,15,Lynden Dunn,Calder Cannons,Melbourne
1,16,Adam Pattison,Northern Knights,Richmond
1,17,Andrew McQualter,Gippsland Power,St Kilda
1,18,Cameron Wood,West Adelaide Football Club,Brisbane Lions
1,19,Ryan Willits,Northern Knights,Port Adelaide
2,20,Dean Polo,Gippsland Power,Richmond
