Pos,No,Driver,Constructor,Time,Gap
1,4,Juan Manuel Fangio,Alfa Romeo,2:25.7,-
2,2,Nino Farina,Alfa Romeo,2:27.4,+ 1.7
3,12,Alberto Ascari,Ferrari,2:28.1,+ 2.4
4,10,Luigi Villoresi,Ferrari,2:28.5,+ 2.8
5,6,Consalvo Sanesi,Alfa Romeo,2:28.9,+ 3.2
6,14,José Froilán González,Ferrari,2:30.8,+ 5.1
7,8,Luigi Fagioli,Alfa Romeo,2:33.1,+ 7.4
8,42,Louis Chiron,Talbot-Lago - Talbot,2:43.7,+ 18.0
9,26,Reg Parnell,Ferrari,2:44.0,+ 18.3
10,38,Philippe Étancelin,Talbot-Lago - Talbot,2:44.8,+ 19.1
11,46,Yves Giraud-Cabantous,Talbot-Lago - Talbot,2:45.7,+ 20.0
12,28,Johnny Claes,Talbot-Lago - Talbot,2:46.6,+ 20.9
13,40,Louis Rosier,Talbot-Lago - Talbot,2:48.0,+ 22.3
14,44,Eugène Chaboud,Talbot-Lago - Talbot,2:49.6,+ 23.9
15,50,Onofre Marimón,Maserati - Milano,2:49.9,+ 24.2
16,18,Toulo de Graffenried,Maserati,2:50.1,+ 24.4
17,36,Aldo Gordini,Simca-Gordini,2:50.3,+ 24.6
18,32,Maurice Trintignant,Simca-Gordini,2:50.4,+ 24.7
19,48,Guy Mairesse,Talbot-Lago - Talbot,2:58.4,+ 32.7
20,24,Peter Whitehead,Ferrari,2:59.0,+ 33.3
