Name,Suburb,LGA,Category,Opened,Website
Al-Hidayah Islamic School,Bentley,Canning,Islamic,1994,web
Australian Christian College ( Darling Downs ),Brookdale,Armadale,Adventist,1982,web
Beechboro Christian School,Beechboro,Swan,Christian ( SCEA ),1991,web
Blue Gum Montessori School,Bibra Lake,Cockburn,Montessori,1983,web
Bold Park Community School,Wembley,Cambridge,Independent,1991,web
Byford John Calvin School,Byford,Serpentine-Jarrahdale,Free Reformed,1999,
Carmel Adventist College Primary,Bickley,Kalamunda,Adventist,1907,web
Casa Mia Montessori Community School,Bassendean,Bassendean,Montessori,1999,
Chrysalis Montessori School,Glendalough,Stirling,Montessori,1990,web
Damla College,Ferndale,Canning,Independent ( Turkish ),2006,web
Emmanuel Christian Community School,Girrawheen,Wanneroo,Christian ( CSA ),1982,web
Immaculate Heart College,Lower Chittering,Shire of Chittering,Catholic,2012,web
Kalamunda Christian School,Walliston,Kalamunda,Christian ( SCEA ),1984,web
Kelmscott John Calvin School,Champion Lakes,Armadale,Free Reformed,1983,
Kerry Street Community School,Hamilton Hill,Cockburn,Independent,1980,web
Lance Holt School,Fremantle,Fremantle,Independent,1970,web
Landsdale Christian School,Landsdale,Wanneroo,Adventist,1987,web
Moerlina School,Mount Claremont,Nedlands,Independent,1974,web
Pioneer Village School,Armadale,Armadale,Independent,1983,web
Quintillian School,Mount Claremont,Nedlands,Independent,1975,web
