Name,Suburb,LGA,Category,Opened,Website
Alice Springs Steiner School,Ross,Alice Springs,Steiner,2001,Website
Araluen Christian School,Araluen,Alice Springs,Christian ( NT Christian Schools ),1990,Website
Gāwa Christian School,Elcho Island,Tiwi Islands,Christian ( NT Christian Schools ),2004,Website
Good Shepherd Lutheran College ( Primary ),Palmerston City,Palmerston,Lutheran,1997,Website
Good Shepherd Lutheran College ( Secondary ),Howard Springs,Litchfield,Lutheran,2007,Website
Haileybury Rendall School,Berrimah,Darwin,Independent,2018,Website
Living Waters Lutheran School,Larapinta,Alice Springs,Lutheran,1987,Website
Māpuru Christian School,Mapuru,East Arnhem,Christian,2010,
Marrara Christian College,Karama,Darwin,Christian ( NT Christian Schools ),1979,Website
Milkwood Steiner School,Berrimah,Darwin,Steiner,2004,Website
Nhulunbuy Christian College,Nhulunbuy,East Arnhem,Christian ( NT Christian Schools ),1998,Website
NT Christian Schools,Berrimah,Darwin,Christian - System Office,1991,
Nyangatjatjara College,Yulara,MacDonnell,Independent,1997,Website
Palmerston Christian School,Marlow Lagoon,Palmerston,Christian ( NT Christian Schools ),1988,Website
St Andrew Lutheran School,Leanyer,Darwin,Lutheran,1983,Website
St Philip 's College,Alice Springs,Alice Springs,Uniting,1965,Website
Sattler Christian College,Humpty Doo,Litchfield,Christian ( NT Christian Schools ),1996,Website
The Essington School Darwin,Nightcliff,Darwin,Montessori,1990,Website
Tiwi College,Melville Island,Tiwi Islands,Independent,,Website
Yipirinya School,Ciccone,Alice Springs,Independent,1983,T-10 . Town camp school
