School,Playoffs,Matches won,Matches lost,Percentage,Years
Alabama,4,10,2,0.833,"2012 , 2013 , 2014 , 2018"
Arizona State,2,0,2,0.000,"2009 , 2013"
Arkansas,1,2,1,0.667,2009
Auburn,1,1,1,0.500,2018
Baylor,1,0,1,0.000,2017
Augusta,2,6,0,1.000,"2010 , 2011"
California,2,2,2,0.500,"2012 , 2013"
Duke,2,2,2,0.500,"2011 , 2018"
Florida State,1,1,1,0.500,2010
Georgia,3,4,3,0.571,"2009 , 2011 , 2015"
Georgia Tech,4,1,4,0.200,"2010 , 2011 , 2013 , 2014"
Illinois,6,5,6,0.455,"2011 , 2013 , 2014 , 2015 , 2016 , 2017"
Kent State,1,0,1,0.000,2012
LSU,3,4,2,0.667,"2014 , 2015 , 2016"
Michigan,1,1,1,0.500,2009
New Mexico,1,0,1,0.000,2013
Ohio State,1,0,1,0.000,2011
Oklahoma,3,3,2,0.600,"2016 , 2017 , 2018"
Oklahoma State,6,8,5,0.615,"2009 , 2010 , 2011 , 2014 , 2017 , 2018"
Oregon,4,7,3,0.700,"2010 , 2012 , 2016 , 2017"
