Year,Nominated work,Award,Results
1988,Predator,Hugo Award for Best Dramatic Presentation,Nominated
1989,Die Hard,Hochi Film Award for Best Foreign Language Film ( in Japan ),Won
1990,Die Hard,Blue Ribbon Award for Best Foreign Language Film ( in Japan ),Won
1990,Die Hard,Kinema Junpo Award for Best Foreign Language Film ( in Japan ),Won
1994,Last Action Hero,Saturn Award for Best Director,Nominated
1994,Last Action Hero,Golden Raspberry Award for Worst Director,Nominated
1994,Last Action Hero,Golden Raspberry Award for Worst Picture,Nominated
1994,Last Action Hero,Stinkers Bad Movie Award for Worst Picture,Nominated
2003,Rollerball,Stinkers Bad Movie Award for Worst Director,Won
2003,Rollerball,Stinkers Bad Movie Award for Worst Remake,Won
