Position,Player,Status*,2010 Team,2011 Team
LB,Charlie Anderson,UFA,Kansas City Chiefs,None
RB,Jackie Battle,RFA,Kansas City Chiefs,Kansas City Chiefs
WR,Steve Breaston,UFA,Arizona Cardinals,Kansas City Chiefs
CB,Brandon Carr,RFA,Kansas City Chiefs,Kansas City Chiefs
FB,Tim Castille,UFA,Kansas City Chiefs,None
WR,Keary Colbert,UFA,None,Kansas City Chiefs
WR,Terrance Copper,UFA,Kansas City Chiefs,Kansas City Chiefs
TE,Brad Cottam,RFA,Kansas City Chiefs,None
FB,Mike Cox,RFA,Kansas City Chiefs,Kansas City Chiefs
QB,Brodie Croyle,UFA,Kansas City Chiefs,Arizona Cardinals
WR,Kevin Curtis,UFA,Kansas City Chiefs,Tennessee Titans
CB,Travis Daniels,UFA,Kansas City Chiefs,Kansas City Chiefs
DT,Ron Edwards,UFA,Kansas City Chiefs,Carolina Panthers
OT,Jared Gaither,UFA,Baltimore Ravens,Kansas City Chiefs
DE,Wallace Gilberry,RFA,Kansas City Chiefs,Kansas City Chiefs
DT,Kelly Gregg,UFA,Baltimore Ravens,Kansas City Chiefs
LB,Cory Greenwood,EFA,Kansas City Chiefs,Kansas City Chiefs
LB,Tamba Hali,UFA,Kansas City Chiefs,Kansas City Chiefs
S,Reshard Langford,EFA,Kansas City Chiefs,Kansas City Chiefs
CB,Maurice Leggett,RFA,Kansas City Chiefs,None
