Year,Champions ( number of titles ),Runners-up,Third place,Leading goalscorer,Goals
1963,Brann ( 2 ),Lyn,Skeid,Leif Eriksen ( Vålerenga ),16
1964,Lyn ( 1 ),Fredrikstad,Sarpsborg,Ole Stavrum ( Lyn ),18
1965,Vålerenga ( 1 ),Lyn,Sarpsborg,Harald Berg ( Lyn ),19
1966,Skeid ( 1 ),Fredrikstad,Lyn,Per Kristoffersen ( Fredrikstad ),20
1967,Rosenborg ( 1 ),Skeid,Lyn,Odd Iversen ( Rosenborg ),17
1968,Lyn ( 2 ),Rosenborg,Viking,Odd Iversen ( Rosenborg ),30
1969,Rosenborg ( 2 ),Fredrikstad,Strømsgodset,Odd Iversen ( Rosenborg ),26
1970,Strømsgodset ( 1 ),Rosenborg,HamKam,Steinar Pettersen ( Strømsgodset ),17
1971,Rosenborg ( 3 ),Lyn,Viking,Jan Fuglset ( Fredrikstad ),17
1972,Viking ( 2 ),Fredrikstad,Strømsgodset,Egil Solberg ( Mjøndalen ) Johannes Vold ( Viking ),17
1973,Viking ( 3 ),Rosenborg,Start,Stein Karlsen ( HamKam ),17
1974,Viking ( 4 ),Molde,Vålerenga,Odd Berg ( Molde ),13
1975,Viking ( 5 ),Brann,Start,Arne Dokken ( Strømsgodset ),18
1976,Lillestrøm ( 2 ),Mjøndalen,Brann,Jan Fuglset ( Molde ),17
1977,Lillestrøm ( 3 ),Bodø/Glimt,Molde,Trygve Johannessen ( Viking ),17
1978,Start ( 1 ),Lillestrøm,Viking,Tom Lund ( Lillestrøm ),17
1979,Viking ( 6 ),Moss,Start,Odd Iversen ( Vålerenga ),16
1980,Start ( 2 ),Bryne,Lillestrøm,Arne Dokken ( Lillestrøm ),14
1981,Vålerenga ( 2 ),Viking,Rosenborg,Pål Jacobsen ( Vålerenga ),16
1982,Viking ( 7 ),Bryne,Lillestrøm,Tor Arne Granerud ( HamKam ) Trygve Johannessen ( Viking ),11
