Season,Team,Record,Playoffs result
2004-05,Miami Heat,59-23 ( .720 ),Lost Conference Finals
2005-06,Miami Heat,52-30 ( .634 ),Won NBA Finals
2006-07,Miami Heat,44-38 ( .537 ),Lost First Round
2007-08,Orlando Magic,52-30 ( .634 ),Lost Conference Semifinals
2008-09,Orlando Magic,59-23 ( .720 ),Lost NBA Finals
2009-10,Orlando Magic,59-23 ( .720 ),Lost Conference Finals
2010-11,Miami Heat,58-24 ( .707 ),Lost NBA Finals
2011-12,Miami Heat,46-20 ( .697 ),Won NBA Finals
2012-13,Miami Heat,66-16 ( .805 ),Won NBA Finals
2013-14,Miami Heat,54-28 ( .659 ),Lost NBA Finals
2014-15,Atlanta Hawks,60-22 ( .732 ),Lost Conference Finals
2015-16,Miami Heat,48-34 ( .585 ),Lost Conference Semifinals
2016-17,Washington Wizards,49-33 ( .598 ),Lost Conference Semifinals
2017-18,Miami Heat,44-38 ( .537 ),Lost First Round
2018-19,Orlando Magic,42-40 ( .512 ),Lost First Round
