Rank,Airport,Serves,Total passengers,Annual change
1,Toronto Pearson International Airport,Greater Toronto,"47,130,358",6.3%
2,Vancouver International Airport,Metro Vancouver,"24,166,122",8.4%
3,Montréal-Pierre Elliott Trudeau International Airport,Greater Montreal,"18,160,223",9.5%
4,Calgary International Airport,Calgary Region,"16,275,862",3.8%
5,Edmonton International Airport,Edmonton Metropolitan Region,"7,807,384",3.8%
6,Ottawa Macdonald-Cartier International Airport,National Capital Region,"4,839,677",2.0%
7,Winnipeg James Armstrong Richardson International Airport,Winnipeg Capital Region,"4,305,744",7.2%
8,Halifax Stanfield International Airport,Halifax,"4,083,188",4.5%
9,Billy Bishop Toronto City Airport,Toronto,"2,800,000",3.7%
10,Victoria International Airport,Greater Victoria,"1,934,842",4.2%
11,Kelowna International Airport,Kelowna / Okanagan Valley,"1,893,470",9.3%
12,Québec City Jean Lesage International Airport,Quebec City,"1,670,880",3.4%
13,St. John 's International Airport,St. John 's,"1,520,500",1.7%
14,Saskatoon John G. Diefenbaker International Airport,Saskatoon,"1,462,751",0.7%
15,Regina International Airport,Regina,"1,219,311",3.5%
