No,Peak,Country,Elevation ( m ),Prominence ( m ),Col ( m )
1,Chimborazo,Ecuador,"6,267","4,122",2145
2,Cotopaxi,Ecuador,"5,896","2,403",3493
3,Cayambe,Ecuador,"5,790","2,075",3715
4,El Altar,Ecuador,"5,319","2,072",3247
5,Cordillera del Cóndor,Ecuador,"2,950","2,011",939
6,Cotacachi,Ecuador,"4,944","1,837",3107
7,Illiniza Sur,Ecuador,"5,263","1,750",3513
8,Antisana,Ecuador,"5,704","1,678",4026
9,Pichincha,Ecuador,"4,794","1,652",3142
10,Sangay,Ecuador,"5,300","1,588",3712
11,Tungurahua,Ecuador,"5,016","1,554",3462
12,Sumaco,Ecuador,"3,790","1,536",2254
13,Imbabura,Ecuador,"4,634","1,519",3115
