Name,Location,Radio services
Barnsley Digital Media Centre,Barnsley,Local studio for BBC Radio Sheffield
Barnstaple Civic Centre,Barnstaple,Local studio for BBC Radio Devon
BBC Broadcasting House ( Cumbria ),Barrow-in-Furness,Local studio for BBC Radio Cumbria
Basingstoke College of Technology,Basingstoke,Local studio for BBC Radio Berkshire
BBC Bath,Bath,Local studio for BBC Radio Bristol
Bedford County Hall,Bedford,Local studio for BBC Three Counties Radio
The Mailbox,Birmingham,BBC WM
BBC Drama Village,Birmingham,
BBC Blackburn,Blackburn,BBC Radio Lancashire
Boston Business Centre,Boston,Local studio for BBC Lincolnshire
National Media Museum,Bradford,Local studio for BBC Radio Leeds
BBC Brighton,Brighton,BBC Sussex
BBC Broadcasting House ( Bristol ),Bristol,BBC Radio Bristol
Bromsgrove District Council House,Bromsgrove,Local studio for BBC Hereford and Worcester
Burton upon Trent Town Hall,Burton upon Trent,Local studio for BBC Radio Derby
BBC Broadcasting House ( Cambridge ),Cambridge,BBC Radio Cambridgeshire
Canterbury Christ Church University,Canterbury,Local studio for BBC Radio Kent
BBC Broadcasting House ( Carlisle ),Carlisle,BBC Radio Cumbria
Sun Pier Chambers,Chatham,Local studio for BBC Radio Kent
BBC Broadcasting House ( Chelmsford ),Chelmsford,BBC Essex
