Season,Winner,Manager
1979,Township Rollers,Chibaso Kande
1980,Township Rollers,Chibaso Kande
1982,Township Rollers,Chibaso Kande
1983,Township Rollers,Chibaso Kande
1984,Township Rollers,Chibaso Kande
1985,Township Rollers,Chibaso Kande
1986,Gaborone United,Zero Johnson
1987,Township Rollers,Ezekiel Mpofu
1990,Gaborone United,Arthur James
1999,Mogoditshane Fighters,David Bright
1999-00,Mogoditshane Fighters,David Bright
2000-01,Mogoditshane Fighters,David Bright
2005-06,Police XI,Sthandwa Mogwadi
2007-08,Mochudi Centre Chiefs,Beston Chambeshi
2008-09,Gaborone United,Mike Sithole
2009-10,Township Rollers,Rahman Gumbo
2010-11,Township Rollers,Wesley Mondo
2011-12,Mochudi Centre Chiefs,Madinda Ndlovu
2012-13,Mochudi Centre Chiefs,Madinda Ndlovu
2013-14,Township Rollers,Madinda Ndlovu
