Map №,Local Authority,Type,Sheading,Keys Constituency
1,Andreas,parish,Ayre,Ayre & Michael
2,Arbory,parish,Rushen,"Arbory , Castletown & Malew"
3,Ballaugh,parish,Michael,Ayre & Michael
4,Braddan,parish,Middle,Middle
5,Bride,parish,Ayre,Ayre & Michael
6,Castletown,town,Rushen,"Arbory , Castletown & Malew"
7,Douglas,town,Middle,Douglas East Douglas West Douglas North Douglas South
-,Garff,parish,Garff,Garff
8,German,parish,Glenfaba,Glenfaba & Peel
9,Jurby,parish,Michael,Ayre & Michael
11,Lezayre,parish,Ayre,Ayre & Michael
13,Malew,parish,Rushen,"Arbory , Castletown & Malew"
14,Marown,parish,Middle,Middle
16,Michael,district,Michael,Ayre & Michael
17,Onchan,district,Middle,Onchan
18,Patrick,parish,Glenfaba,Glenfaba & Peel
19,Peel,town,Glenfaba,Glenfaba & Peel
20,Port Erin,village,Rushen,Rushen
21,Port St Mary,village,Rushen,Rushen
22,Ramsey,town,Garff,Ramsey
