Pos,No,Driver,Constructor,Lap,Gap
1,5,Fernando Alonso,Renault,1:11.988,-
2,10,Juan Pablo Montoya,McLaren - Mercedes,1:12.145,+0.157
3,6,Giancarlo Fisichella,Renault,1:12.558,+0.570
4,3,Jenson Button,BAR - Honda,1:12.696,+0.708
5,9,Kimi Räikkönen,McLaren - Mercedes,1:12.781,+0.793
6,15,Christian Klien,Red Bull - Cosworth,1:12.889,+0.901
7,1,Michael Schumacher,Ferrari,1:12.976,+0.988
8,16,Jarno Trulli,Toyota,1:13.041,+1.053
9,12,Felipe Massa,Sauber - Petronas,1:13.151,+1.163
10,2,Rubens Barrichello,Ferrari,1:13.183,+1.195
11,17,Ralf Schumacher,Toyota,1:13.285,+1.297
12,11,Jacques Villeneuve,Sauber - Petronas,1:13.372,+1.384
13,18,Tiago Monteiro,Jordan - Toyota,1:13.387,+1.399
14,7,Mark Webber,Williams - BMW,1:13.538,+1.550
15,8,Antônio Pizzonia,Williams - BMW,1:13.581,+1.593
16,14,David Coulthard,Red Bull - Cosworth,1:13.844,+1.856
17,19,Narain Karthikeyan,Jordan - Toyota,1:14.520,+2.532
18,21,Christijan Albers,Minardi - Cosworth,1:14.763,+2.775
19,4,Takuma Sato,BAR - Honda,No time,
20,20,Robert Doornbos,Minardi - Cosworth,No time,Spin
