Medal,Name,Sport,Event
Gold,Hubert Strolz,Alpine Skiing,Men 's Combined
Gold,Anita Wachter,Alpine Skiing,Women 's Combined
Gold,Sigrid Wolf,Alpine Skiing,Women 's Super G
Silver,Bernhard Gstrein,Alpine Skiing,Men 's Combined
Silver,Hubert Strolz,Alpine Skiing,Men 's Giant Slalom
Silver,Helmut Mayer,Alpine Skiing,Men 's Super G
Silver,Klaus Sulzenbacher,Nordic Combined,Men 's Individual
Silver,Michael Hadschieff,Speed Skating,Men 's 10000m
Bronze,Hansjörg Aschenwald Günther Csar Klaus Sulzenbacher,Nordic Combined,Men 's 3 x 10 km Relay
Bronze,Michael Hadschieff,Speed Skating,Men 's 1500m
