Year,Horse,Trainer,Owner
1970,Personality,John W. Jacobs,Ethel D. Jacobs
1969,Arts and Letters,J. Elliott Burch,Rokeby Stables
1968,Stage Door Johnny ( TRA ) ( DRF ),"John M. Gaver , Sr",Greentree Stable
1968,Forward Pass ( TSD ),Henry Forrest,Calumet Farm
1967,Damascus,Frank Y. Whiteley Jr,Edith W. Bancroft
1966,Buckpasser,Edward A. Neloy,Ogden Phipps
1965,Tom Rolfe,Frank Y. Whiteley Jr,Powhatan Stable
1964,Northern Dancer,Horatio Luro,Windfields Farm
1963,Chateaugay,James P. Conway,Darby Dan Farm
1962,Jaipur,Winbert F. Mulholland,George D. Widener Jr
1961,Carry Back,Jack A . Price,Katherine Price
1960,Kelso,Carl Hanford,Bohemia Stable
1959,Sword Dancer,J. Elliott Burch,Brookmeade Stable
1958,Tim Tam,Horace A. Jones,Calumet Farm
1957,Bold Ruler,James E. Fitzsimmons,Wheatley Stable
1956,Needles,Hugh L. Fontaine,D & H Stable
1955,Nashua,James E. Fitzsimmons,Belair Stud
1954,High Gun,Max Hirsch,King Ranch
1953,Native Dancer,William C. Winfrey,Alfred G. Vanderbilt II
1952,One Count,Oscar White,Sarah F. Jeffords
