Name of Town,State,Type,Population ( 2011 )
Lachhmangarh,Rajasthan,M,"53,392"
Ladnu,Rajasthan,M,"65,575"
Ladwa,Haryana,M.C,"28,887"
Lahar,Madhya Pradesh,N.P,"35,674"
Laharpur,Uttar Pradesh,N.P.P,"61,990"
Lakheri,Rajasthan,M,"29,572"
Lakhisarai,Bihar,N.P,"99,979"
Laksar,Uttarakhand,N.P,"21,760"
Lakshmeshwar,Karnataka,T.M.C,"36,754"
Lal Gopalganj Nindaura,Uttar Pradesh,N.P,"28,288"
Lalganj,Bihar,N.A.C,37000
Lalgudi,Tamil Nadu,T.P,"23,740"
Lalganj,Uttar Pradesh,N.P,"21,142"
Lalkuan,Uttarakhand,N.P,"7,644"
Lalsot,Rajasthan,M,"34,363"
Landhaura,Uttarakhand,N.P,"18,370"
Lanka,Assam,M.B,"36,805"
Lar,Uttar Pradesh,N.P,"28,307"
Lathi,Gujarat,M,"21,173"
Lilong,Manipur,N.P,"22,888"
