Name,Family,Language,Region,Country,Population ( million )
Afrikaner,Indo-European,Afrikaans,South,"South Africa , Namibia",3.5
Bemba,"Niger-Congo , Bantu",Bemba,South,Zambia,5.0
Cape Coloured,Indo-European,Afrikaans,South,South Africa,4.7
Herero,"Niger-Congo , Bantu",Herero,South,"Namibia , Botswana , Angola",0.2
Himba,"Niger-Congo , Bantu",Otjihimbo ( Herero dialect ),South,Namibia,0.05
Goffal,Indo-European,Zimbabwean English,South,Zimbabwe,0.03
Kalanga,"Niger-Congo , Bantu",Shona,South,"Zimbabwe , Botswana",0.1
Khoikhoi,Khoisan,Khoekhoegowab,South,,-
Lemba,"Niger-Congo , Bantu",Venda,South,"Zimbabwe , South Africa , Malawi , Mozambique",0.05
Makua,"Niger-Congo , Bantu",Makua,South/East,"Mozambique , Tanzania",1.1
Nambya,"Niger-Congo , Bantu",Shona,South,Zimbabwe,0.1
North Ndebele,"Niger-Congo , Bantu , Nguni",Sindebele,South,Zimbabwe,1.5
"Ovambo ( Ambo , Owambo )","Niger-Congo , Bantu",Ovambo,South,Namibia,0.9
San,Khoisan,Khoisan,South,"South Africa , Zimbabwe , Lesotho , Mozambique , Swaziland , Botswana , Namibia , Angola",0.09
South Ndebele,"Niger-Congo , Bantu",Southern Ndebele,South,South Africa,0.7
Shona,"Niger-Congo , Bantu",Shona,South,"Mozambique , Zimbabwe",10.6
Sotho,"Niger-Congo , Bantu",Sotho,South,"Lesotho , South Africa , Zimbabwe ( Gwanda District )",5.3
Swazi,"Niger-Congo , Bantu , Nguni",Swazi,South,"Swaziland , South Africa , Mozambique",3.5
Tonga,"Niger-Congo , Bantu",Shona,South,"Zimbabwe , Zambia",2
Tsonga,"Niger-Congo , Bantu , Nguni",Tsonga,South,"Swaziland , South Africa , Mozambique , Zimbabwe ( Chiredzi and Mwenezi Districts )",5.5
