No,Pos,Name,Age,To
4,FW,Mohd Amirul Omar,28,Melaka United F.C
6,DF,William Modibo,35,Osotspa Saraburi F.C
7,MF,Idris Abdul Karim,38,Retired
8,MF,Norismaidham Ismail,30,Perlis FA
9,MF,Shahurain Abu Samah,28,Felda United F.C
13,DF,Abdul Ghani Rahman,29,PKNS F.C
14,FW,Mohd Alafi Mahmud,29,PDRM FA
15,MF,Rashid Mahmud,36,Melaka United F.C
18,DF,Mohd Fadhil Mohd Hashim,31,PDRM FA
20,FW,Fábio Leandro Barbosa,36,Retired
21,GK,Mohd Hamsani Ahmad,38,Selangor FA
23,MF,Nazrin Nawi,26,Johor Darul Ta'zim F.C
25,FW,Ahmad Shakir Mohd Ali,25,Kelantan FA
26,FW,Mohd Rahizi Mohd Rasib,20,Negeri Sembilan FA U21
29,MF,Muhamad Bukhairi Idris,22,Melaka United F.C
30,DF,Fiqri Azwan Ghazali,22,Putrajaya SPA F.C
