Team,Arena,Home Games,Average Attendance,Total Attendance,Capacity Percentage
Chicago Blackhawks,United Center,41,"21,423","878,356",108.7%
Montreal Canadiens,Bell Centre,41,"21,273","872,193",100.0%
Philadelphia Flyers,Wells Fargo Center,41,"19,715","808,328",101.1%
Detroit Red Wings,Joe Louis Arena,41,"19,680","806,892",98.1%
Toronto Maple Leafs,Air Canada Centre,41,"19,354","793,522",102.9%
Calgary Flames,Scotiabank Saddledome,40,"19,289","771,560",100.0%
St. Louis Blues,Scottrade Center,41,"19,150","785,150",100.0%
Vancouver Canucks,Rogers Arena,41,"18,860","773,260",100.3%
Buffalo Sabres,HSBC Arena,41,"18,452","756,568",98.7%
Washington Capitals,Verizon Center,41,"18,397","754,309",100.0%
Ottawa Senators,Scotiabank Place,41,"18,378","753,525",99.3%
Pittsburgh Penguins,Consol Energy Center,40,"18,240","729,628",100.9%
New York Rangers,Madison Square Garden,41,"18,108","742,432",99.5%
Los Angeles Kings,Staples Center,41,"18,083","741,404",99.8%
Minnesota Wild,Xcel Energy Center,40,"18,012","720,508",99.7%
Boston Bruins,TD Garden,40,"17,565","702,600",100.0%
San Jose Sharks,HP Pavilion at San Jose,40,"17,562","702,480",100.4%
Tampa Bay Lightning,St. Pete Times Forum,41,"17,268","708,022",87.4%
Edmonton Oilers,Rexall Place,41,"16,839","690,399",100.0%
Carolina Hurricanes,RBC Center,40,"16,415","656,611",87.6%
