Club,Home city,Stadium,Finishing position last season,First season in division,First season of current spell in division
Athletic Bilbao,Bilbao,Lezama ( Field 2 ),5th,2002-03,2002-03
Atlético Madrid,Madrid,Alcalá de Henares,1st,1989-90,2006-07
Barcelona,Barcelona,Johan Cruyff,2nd,1988-89,2008-09
Deportivo La Coruña,A Coruña,Abegondo,1st in Segunda División group 1,2019-20,2019-20
Espanyol,Barcelona,Dani Jarque,9th,1988-89,1993-94
Granadilla,Granadilla de Abona,La Palmera,4th,2015-16,2015-16
Levante,Valencia,Buñol,3rd,1996-97,1999-2000
Logroño,Logroño,Las Gaunas,11th,2018-19,2018-19
Madrid CFF,San Sebastián de los Reyes,Nuevo Matapiñonera,13th,2017-18,2017-18
Rayo Vallecano,Madrid,Ciudad Deportiva,12th,2003-04,2003-04
Real Betis,Seville,Luis del Sol,6th,2016-17,2016-17
Real Sociedad,San Sebastián,José Luis Orbegozo,7th,2006-07,2006-07
Sevilla,Seville,Jesús Navas,10th,2009-10,2017-18
Sporting Huelva,Huelva,Nuevo Colombino,14th,2006-07,2006-07
Tacón,Madrid,Alfredo di Stéfano,1st in Segunda División group 5,2019-20,2019-20
Valencia,Valencia,Antonio Puchades,8th,2007-08,2007-08
