Venue,City/Town,Tenant/Use,Capacity
Charlotte Motor Speedway,Concord,"Oval racing , Road racing","94,000-170,000"
North Wilkesboro Speedway,North Wilkesboro,Oval racing,"40,000"
Rockingham Speedway,Rockingham,"Oval racing , Road racing","34,500"
zMax Dragway,Concord,Drag racing,"30,000"
Rockingham Dragway,Rockingham,Drag racing,"30,000"
Bowman Gray Stadium,Winston-Salem,Oval racing,"17,000"
Dirt Track @ Charlotte,Concord,Dirt racing,"14,000"
Hickory Motor Speedway,Newton,Oval racing,"13,200"
Orange County Speedway,Rougemont,Oval racing,"12,400"
Concord Motorsport Park,Midland,Oval racing,"8,500"
Ace Speedway,Altamahaw,Oval racing,"5,000"
Caraway Speedway,Sophia,Oval racing,"4,000"
