No,Position,Player,Nation
3,Defender,Pedro Galvão,United States
4,Defender,Emanuele Sembroni,Italy
5,Defender,Matt Lewis,United States
7,Forward,Bljedi Bardic,Montenegro
11,Forward,Aly Hassan,United States
13,Defender,Ansi Agolli,Albania
14,Midfielder,Danny Szetela,United States
15,Forward,Shavon John-Brown,Grenada
17,Midfielder,Salvatore Barone,United States
20,Forward,Darwin Espinal,Honduras
24,Goalkeeper,Santiago Castaño,United States
26,Midfielder,Charlie Ledula,England
70,Forward,Isaac Acuña,Mexico
88,Defender,Dominick Falanga,United States
90,Goalkeeper,Jesse Corke,United States
-,Forward,Geo Alves,Cape Verde
-,Midfielder,Vincenzo Candela,Colombia
-,Midfielder,John Denis,United States
-,Defender,Konrad Plewa,Poland
-,Midfielder,CJ Weinstein,United States
