Rank,Artist,Album,Peak position,Sales,Certification
1,Taylor Swift,Red,1,"320,000",4x Platinum
2,Bruno Mars,Unorthodox Jukebox,2,"240,000",3x Platinum
3,Imagine Dragons,Night Visions,4,"240,000",3x Platinum
4,Pink,The Truth About Love,1,"240,000",3x Platinum
5,Lana Del Rey,Born to Die,3,"160,000",2x Platinum
6,The Lumineers,The Lumineers,5,"160,000",2x Platinum
7,Carrie Underwood,Blown Away,1,"80,000",Platinum
8,Florida Georgia Line,Here 's to the Good Times,8,"80,000",Platinum
9,fun,Some Nights,5,"80,000",Platinum
10,Jack White,Blunderbuss,1,"80,000",Platinum
