School,Conference,Overall record,Conference record
Albany,America East,19-14,9-7
American,Patriot,20-11,10-4
Bowling Green,Mid-American,16-15,9-7
Buffalo,Mid-American,19-10,12-4
Cal State Bakersfield,Division I independent,16-14,
Cal State Fullerton,Big West,21-9,12-4
Coastal Carolina,Big South,19-11,12-6
Drake,Missouri Valley,17-15,9-9
Fairfield,Metro Atlantic Athletic,19-14,12-6
Georgia State,Colonial Athletic,21-11,11-7
Idaho,Western Athletic,18-13,9-5
Indiana State,Missouri Valley,17-13,8-10
Kent State,Mid-American,21-11,10-6
Louisiana-Lafayette,Sun Belt,16-15,10-6
Loyola Marymount,West Coast,19-12,11-5
Manhattan,Metro Atlantic Athletic,20-12,12-6
McNeese State,Southland,17-15,10-6
Mercer,Atlantic Sun,22-11,13-5
North Dakota,Great West,17-14,6-4
Oakland,Summit League,17-15,11-7
