P,Name,Age,Moving to,Type
GK,Mauro,29,Noroeste,Contract terminated
FW,Frontini,24,Marília,Loan expiration
MF,Fabinho,29,Internacional,End of contract
DF,Flávio,25,Unattached,Contract terminated
MF,Ricardo Bóvio,23,Málaga,Contract terminated
GK,Henao,34,Unattached,Contract terminated
MF,Zé Elias,29,Metalurh Donetsk,Transferred
FW,Basílio,33,Tokyo Verdy,Contract terminated
FW,William,22,Boavista,End of contract
MF,Élton,25,Alavés,Transferred
MF,Ricardinho,29,Corinthians,End of contract
FW,Cláudio Pitbull,24,Unattached,Contract terminated
FW,Luizão,30,Unattached,Contract terminated
MF,Giovanni,33,Al-Hilal,Contract terminated
DF,Fabinho,26,Toulouse,Transferred
FW,Diego,22,Internacional,Contract terminated
DF,Neto,25,Fluminense,Loaned
MF,Wendel,24,Bordeaux,Contract terminated
MF,Gilmar,22,Unattached,Contract terminated
MF,Léo Lima,26,Grêmio,Contract terminated
