Event,Winner,Prize,Runner-up
$ 500 Casino Employee 's Limit Hold'em,Travis Jonas,"$ 40,200",Jae Kim
"$ 2,000 Limit Hold'em",Nani Dollison,"$ 441,440",John Pires
"$ 1,500 Omaha Hi-Lo Split 8 or better",Chris Ferguson,"$ 164,735",Men Nguyen
"$ 1,500 Seven-card stud",Adam Roberts,"$ 146,430",Sal Dimicelli
"$ 2,000 No Limit Hold'em",Phil Hellmuth Jr,"$ 316,550",T. J. Cloutier
"$ 1,500 Limit Omaha",Eddy Scharf,"$ 83,810",Michael Davis
"$ 1,500 Seven Card Stud Hi-Lo Split 8 or better",Barry Shulman,"$ 123,820",Dan Heimiller
"$ 1,500 Pot Limit Omaha w/Rebuys",Galen Kester,"$ 167,035",Dave Ulliott
"$ 2,000 S.H.O.E",David Pham,"$ 140,455",Skip Wilson
"$ 3,000 Limit Hold'em",Jim Lester,"$ 233,490",Alex Brenes
"$ 2,500 Seven Card Stud",Paul Darden,"$ 147,440",Tom Franklin
"$ 2,000 Pot Limit Hold'em",Burt Boutin,"$ 193,800",Dave Ulliott
"$ 1,500 Razz",Berry Johnston,"$ 83,810",Mike Wattel
"$ 2,500 Pot Limit Omaha w/Rebuys",Scotty Nguyen,"$ 178,480",Jim Lester
"$ 2,500 Seven Card Stud Hi-Lo Split 8 or better",Rich Korbin,"$ 159,080",Alex Papachatzakis
"$ 1,500 Ace to Five Draw Lowball",Cliff Yamagawa,"$ 73,915",David Danheiser
"$ 2,500 Omaha Hi-Lo Split 8 or better",Bob Slezak,"$ 173,625",Tony Ma
"$ 5,000 No Limit Deuce to Seven Draw w/Rebuys",Howard Lederer,"$ 165,870",Freddy Deeb
"$ 1,000 Seniors ' No Limit Hold'em",Jay Heimowitz,"$ 115,430",Garry Pollak
"$ 3,000 Pot Limit Hold'em",Steve Zolotow,"$ 243,335",Mike Magee
