Position,Player,Transferred From,Date
DF,Munier Raychouni,SV Altlüdersdorf,1 January 2011
DF,Graham Tatters,Tampa Bay Rowdies,1 January 2011
FW,Leonardo Aleixa da Costa,Volyn Lutsk,1 January 2011
DF,Adrian Butters,Toronto Lynx,1 January 2011
DF,Madhu Mohana,Courts Young Lions,1 January 2011
DF,Darrel Tan,Hougang United,1 January 2011
MF,Jalal,Hougang United,1 January 2011
GK,Amos Boon,Hougang United,1 January 2011
MF,Han Yiguang,Balestier Khalsa,1 January 2011
FW,Goh Swee Swee,Balestier Khalsa,1 January 2011
