Pick #,MLS team,Player,Position,Affiliation
13,D.C. United,Stephen Armstrong,M,Butler University
14,New England Revolution,* Rusty Pierce,D,UNC-Greensboro
15,Kansas City Wizards,Peter Byaruhanga,F,University of Alabama at Birmingham
16,San Jose Earthquakes,Justin Evans,M,Pittsburgh Riverhounds ( A-League )
17,Miami Fusion,Martín Machón,M,Santos ( Mexico )
18,San Jose Earthquakes,Joseph Ragusa,D,Long Island Rough Riders ( A-League )
19,D.C. United,Eric Denton,D,Santa Clara University
20,Colorado Rapids,Keyeno Thomas,M,Joe Public F.C
21,Columbus Crew,Roland Aguilera,M,Tahuichi Academy
22,Dallas Burn,Antonio Martínez,M,Cal State-Fullerton
23,Los Angeles Galaxy,Peter Vagenas,M,UCLA
24,San Jose Earthquakes,Adrian Narine,F,Joe Public F.C
