Year,Gold,Silver,Bronze,Host city ( cities ),Host country
1995,United States,Canada,Finland,Chicago,United States
1996,United States,France,Italy,Roccaraso,Italy
1997,United States,Canada,Austria,Zell am See,Austria
1998,United States,Austria,Czech Republic,Winnipeg,Canada
1999,Switzerland,United States,Czech Republic,"Thun , Wichtrach",Switzerland
2000,United States,Switzerland,Czech Republic,Amiens,France
2001,United States,Czech Republic,Switzerland,Torrevieja,Spain
2002,Canada,United States,Czech Republic,Rochester,United States
2004,United States,Canada,Italy,London,Canada
2005,United States,Czech Republic,France,Paris,France
2006,United States,Czech Republic,Canada,Detroit,United States
2007,Czech Republic,Switzerland,Canada,Bilbao,Spain
2008,United States,France,Czech Republic,Ratingen,Germany
2009,United States,Canada,Czech Republic,Varese,Italy
2010,United States,Switzerland,Czech Republic,Beroun,Czech Republic
2011,Czech Republic,Italy,United States,Roccaraso,Italy
2012,United States,Canada,Czech Republic,Bucaramanga,Colombia
2013,Czech Republic,Canada,Switzerland,Anaheim,United States
2014,United States,Czech Republic,Canada,Toulouse,France
2015,Czech Republic,France,United States,Rosario,Argentina
