Venue,# hosted,Last final,City,# hosted,Last final
BJK İnönü Stadium,21,1999,İstanbul,33,2005
Hüseyin Avni Aker Stadium,8,1997,Trabzon,8,1997
İzmir Atatürk Stadium,7,2009,İzmir,14,2009
Ali Sami Yen Stadium,7,1999,İstanbul,33,2005
İzmir Alsancak Stadium,7,1980,İzmir,14,2009
Ankara 19 Mayıs Stadium,7,2013,Ankara,7,2013
Bursa Atatürk Stadium,7,2015,Bursa,7,2015
Şükrü Saracoğlu Stadium,3,1996,İstanbul,33,2005
Eskişehir Atatürk Stadium,3,1987,Eskişehir,4,2017
Atatürk Olympic Stadium,2,2005,İstanbul,33,2005
Kadir Has Stadium,1,2011,Kayseri,2,2011
Şanlıurfa GAP Stadium,1,2010,Şanlıurfa,1,2010
Antalya Atatürk Stadium,1,2003,Antalya,2,2016
Kayseri Atatürk Stadium,1,2001,Kayseri,2,2011
Diyarbakır Atatürk Stadium,1,2000,Diyarbakır,2,2018
Ismet Pasa Stadium,1,1997,İzmit,1,1997
Sakarya Atatürk Stadium,1,1988,Adapazarı,1,1988
Samsun 19 Mayıs Stadium,1,1988,Samsun,1,1988
Tevfik Sırrı Gür Stadium,1,1983,Mersin,1,1983
Bolu Atatürk Stadium,1,1981,Bolu,1,1981
