Name,Grad year,Degree,Notability
Jack Agnew,-,-,"United States Army private first class in World War II , a member of the Filthy Thirteen , whose exploits inspired the novel and film The Dirty Dozen"
Gary R. Chiusano,1973,BS,New Jersey General Assembly assemblyman for the 24th legislative district
Ruth Hale,1916,-,Found for women 's rights in 1920s ; member of the Algonquin Round Table
Earle I. Mack,1959,BS,"Former United States ambassador to Finland , partner of The Mack Company , and award-winning film producer"
Albert Branson Maris,1926,BS,Federal judge on the United States Court of Appeals for the Third Circuit
"William H. Milliken , Jr",-,-,United States Congressman from Pennsylvania 's 7th Congressional district from 1959 to 1965
Peter Mafany Musonge,1967,BS,Former Prime Minister of Cameroon
Victoria Napolitano,2010,"BS , MS","Youngest female mayor in New Jersey history ; youngest mayor of Moorestown , New Jersey"
Peter O'Keefe,,MBA,"Member of the Pennsylvania House of Representatives , District 161 from 1975 to 1978"
Alassane Ouattara,1965,BS,Current President of Côte d'Ivoire
Arthur Raymond Randolph,-,-,Member of the U.S. House of Representatives from Pennsylvania
John Roberts Reading,1966,BS,Federal judge on the United States Court of Appeals for the District of Columbia Circuit
Celeste Riley,2002,MS,New Jersey General Assembly assemblywoman for the 3rd legislative district
Lindsay Walters,2007,BS,White House Deputy Press Secretary under Donald Trump
Lawrence G. Williams,-,-,United States Congressman from Pennsylvania 's 7th Congressional district from 1966 to 1975
