Nationality,Name,Weight Class
Armenia,Vanes Martirosyan,Super Welterweight
Armenia,Kahren Harutyunyan,Bantamweight
Australia,Leonardo Zappavigna,Light Welterweight
Canada,Jean Pascal,Light heavyweight
China,Zou Shiming,Flyweight
Cuba,* Guillermo Rigondeaux,Super Bantamweight
Denmark,Johnny Bredahl,Bantamweight
Ireland,Bernard Dunne,Super Bantamweight
Ireland,Jamie Kavanagh,Lightweight
Ireland,Steve Collins,Super Middleweight
Jamaica,O'Neil Bell,Cruiserweight
Mexico,Israel Vasquez,Super Bantamweight
Mexico,Juan Lazcano,Jr Welterweight
Mexico,Julio César Chávez Jr,Middleweight
Mexico,* Ray Beltrán,Lightweight
Mexico,- Andy Ruiz Jr,Heavyweight
Netherlands,Lucia Rijker ( w ),Light Welterweight
Nigeria,Kingsley Ikeke,Super Middleweight
Nigeria,Lateef Kayode,Cruiserweight
Nigeria,Wale Omotoso,Welterweight
