Album,Soloist ( s ),Label,Release Year
Buxtehude : Membra Jesu Nostri,"Radoslava Vorgić , Dragana Popović , Bojan Bulatović , Marko Živković , Sreten Manojlović",Edition Lilac,2018
J.S . Bach : Violin Concertos,"Carrie Krause , Adriane Post",Edition Lilac,2016
"Baroque Christmas ( Concertos and Cantatas by Corelli , Torelli , Manfredini , Scarlatti , Buxtehude and Bernhard )","Kathryn Mueller , Wanda Yang Temko , Adriane Post , Carrie Krause , Martha Perry , Anna Griffis , André Laurent O'Neil",Edition Lilac,2011
Vivaldi : Concertos,"Carrie Krause , Daniela Giulia Pierson , Michael Fields , André Laurent O'Neil , Christina Babich Rosser",Edition Lilac,2010
Handel : Arias,Leif Aruhn-Solén,Edition Lilac,2010
Pergolesi : Stabat Mater,"Evelyn Tubb , Terry Barber",Edition Lilac,2008
Carissimi : Oratorios Jonas and Jephte,"The Oxford Chorale , Julia Matthews , Kevin Sutton",Edition Lilac,2007
Charpentier : Messe de minuit / Handel : Organ Concertos,"The Canterbury Choir , Brad Hughley",Edition Lilac,2005
Purcell : Dido and Aeneas,"Evelyn Tubb , Thomas Meglioranza , Julia Matthews ,",Edition Lilac,2004
Trio Sonatas & Chaconnas,New Trinity Baroque,Edition Lilac,2003
