Team,Location,Stadium,Capacity
Esteghlal,Tehran,Azadi,"76,807"
Foolad,Ahvaz,Foolad Arena,"30,655"
Gol Gohar Sirjan,Sirjan,Imam Ali Stadium Gol Gohar Sport Complex,"Imam Ali Stadium:2,000 Gol Gohar Sport Complex:3,000"
Machine Sazi,Tabriz,"Bagh Shomal Stadium , TractorSazi Complex , Yadegar-e-Emam Stadium , Bonyan Diesel Stadium","Bagh Shomal Stadium:25,000 TractorSazi Complex:8,000 Yadegar-e-Emam Stadium:66,833 Bonyan Diesel Stadium:12,000"
Naft Masjed Soleyman,Masjed Soleyman :,Behnam Mohammadi,"8,000"
Nassaji Mazandaran,Qaemshahr,Vatani Shohada Sari Stadium,"Vatani:15,000 Shohada Sari:10,000"
Pars Jonoubi Jam,Jam,Takhti Jam,"10,000"
Paykan,Shahr-e Qods etc,Shahre Qods,"25,000"
Persepolis,Tehran,Azadi,"76,807"
Saipa,Tehran,Pas Stadium,"8,250"
Sanat Naft,Abadan,Takhti Abadan,"22,000"
Sepahan,Isfahan,Naghsh-e-Jahan Folad Shahr Stadium,"Naghsh-e-Jahan:75,000 Folad Shahr Stadium:20,000"
Shahin Bushehr,Bushehr,Shahid Beheshti Stadium,"20,000"
Shahr Khodro,Mashhad,Imam Reza Stadium,"25,000"
Tractor,Tabriz,Sahand,"66,833"
Zob Ahan,Fuladshahr,Foolad Shahr,"20,000"
